"module name","license","repository"
"@babel/code-frame@7.5.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-code-frame"
"@babel/core@7.6.2","MIT","https://github.com/babel/babel/tree/master/packages/babel-core"
"@babel/generator@7.6.2","MIT","https://github.com/babel/babel/tree/master/packages/babel-generator"
"@babel/helper-annotate-as-pure@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-annotate-as-pure"
"@babel/helper-builder-binary-assignment-operator-visitor@7.1.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-builder-binary-assignment-operator-visitor"
"@babel/helper-call-delegate@7.4.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-call-delegate"
"@babel/helper-define-map@7.5.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-define-map"
"@babel/helper-explode-assignable-expression@7.1.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-explode-assignable-expression"
"@babel/helper-function-name@7.1.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-function-name"
"@babel/helper-get-function-arity@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity"
"@babel/helper-hoist-variables@7.4.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-hoist-variables"
"@babel/helper-member-expression-to-functions@7.5.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-member-expression-to-functions"
"@babel/helper-module-imports@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-module-imports"
"@babel/helper-module-transforms@7.5.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-module-transforms"
"@babel/helper-optimise-call-expression@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-optimise-call-expression"
"@babel/helper-plugin-utils@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-plugin-utils"
"@babel/helper-regex@7.5.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-regex"
"@babel/helper-remap-async-to-generator@7.1.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-remap-async-to-generator"
"@babel/helper-replace-supers@7.5.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-replace-supers"
"@babel/helper-simple-access@7.1.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-simple-access"
"@babel/helper-split-export-declaration@7.4.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-split-export-declaration"
"@babel/helper-wrap-function@7.2.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-wrap-function"
"@babel/helpers@7.6.2","MIT","https://github.com/babel/babel/tree/master/packages/babel-helpers"
"@babel/highlight@7.5.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-highlight"
"@babel/node@7.6.2","MIT","https://github.com/babel/babel/tree/master/packages/babel-node"
"@babel/parser@7.6.2","MIT","https://github.com/babel/babel/tree/master/packages/babel-parser"
"@babel/plugin-proposal-async-generator-functions@7.2.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-async-generator-functions"
"@babel/plugin-proposal-dynamic-import@7.5.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-dynamic-import"
"@babel/plugin-proposal-json-strings@7.2.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-json-strings"
"@babel/plugin-proposal-object-rest-spread@7.6.2","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-object-rest-spread"
"@babel/plugin-proposal-optional-catch-binding@7.2.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-optional-catch-binding"
"@babel/plugin-proposal-unicode-property-regex@7.6.2","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-unicode-property-regex"
"@babel/plugin-syntax-async-generators@7.2.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"@babel/plugin-syntax-dynamic-import@7.2.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import"
"@babel/plugin-syntax-json-strings@7.2.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings"
